bilang,BISAYA0,ingon,kas,as,,
ako,BISAYA1,ako,siak,I,,
kanyang,BISAYA2,iya,kenkuana,his,,
na,BISAYA3,na,a,that,,
siya,BISAYA4,siya,isuna,he,,
noon ay,BISAYA5,mao,ket,was,,
para sa,BISAYA6,kay,para,for,, 
sa,BISAYA7,sa,iti,on,,
ay,BISAYA8,ay,a,are,,
may,BISAYA9,naay,adda,with,,
sila,BISAYA10,sila,isuda,they,,
maging,BISAYA11,mahimong,agbalin a,be,,
sa,BISAYA12,sa,iti,at,,
isa,BISAYA13,usa,maysa,one,,
mayroon,BISAYA14,naay,adda,have,,
ito,BISAYA15,ini,daytoy,this,,
mula sa,BISAYA16,gikan sa,manipud,from,,
sa pamamagitan ng,BISAYA17,pinaagi sa,babaen,by,,
mainit,BISAYA18,mainit,napudot,hot,,
salita,BISAYA19,mga pulong,sarita,word,,
ngunit,BISAYA20,apan,ngem,but,,
ano,BISAYA21,unsa,ania,what,,
ilang,BISAYA22,pila ka,dadduma kadagiti,some,,
ay,BISAYA23,ay,a,is,,
ito,BISAYA24,ini,daytoy,it,,
sa iyo,BISAYA25,sayo,kukuam,yours,,
o,BISAYA26,o,wenno,or,,
nagkaroon,BISAYA27,adunay,addaan idi,had,,
ang,BISAYA28,ang,ti,the,,
ng,BISAYA29,ng,iti,of,,
sa,BISAYA30,sa,iti,to,,
at,BISAYA31,ug,ken,and,,
isang,BISAYA32,usa ka,maysa a,a,,
sa,BISAYA33,ug,iti,in,,
namin,BISAYA34,kita,sikami,we,,
maaari,BISAYA35,mahimo,kabaelan,can,,
labas,BISAYA36,gawas,ruar,out,,
iba,BISAYA37,lain,sabali,different,,
ay,BISAYA38,ay,a,were,,
alin,BISAYA39,nga,ania,which,,
gawin,BISAYA40,buhata,aramiden,do,,
kanila,BISAYA41,ila,isuda,their,,
oras,BISAYA42,oras,oras,time,,
kung,BISAYA43,kon,no,if,,
kalooban,BISAYA44,kabubut-on,pagayatan,will,,
paano,BISAYA45,unsaon,kasano,how,,
sinabi,BISAYA46,miingon,imbaga,said,,
isang,BISAYA47,usa ka,maysa,an,,
bawat,BISAYA48,matag usa,kada,each,,
sabihan,BISAYA49,sultihan,ibaga,tell,,
ginagawa,BISAYA50,gibuhat,agar-aramid,does,,
hanay,BISAYA51,koleksyon,kaadayo,set,,
tatlong,BISAYA52,tulo,tallo,three,,
gusto,BISAYA53,gusto,kayat,want,,
hanging,BISAYA54,hangin,angin,air,,
mabuti,BISAYA55,maayo,nasayaat,well,,
din,BISAYA56,usab,met,also,,
maglaro,BISAYA57,magdula,agay-ayam,play,,
maliit,BISAYA58,gamay,bassit,small,,
wakas,BISAYA59,katapusan,gibus,end,,
ilagay,BISAYA60,ibutang,ikabil,put,,
tahanan,BISAYA61,balay,balay,home,,
basahin,BISAYA62,basaha,basaen,read,,
kamay,BISAYA63,kamot,ima,hand,,
port,BISAYA64,pantalan,puerto,port,,
malaki,BISAYA65,dako,dakkel,large,,
paghayag,BISAYA66,paglitok,ibaga,express,,
magdagdag,BISAYA67,idugang,agnayon,add,,
kahit,BISAYA68,bisan,uray,even,,
lupa,BISAYA69,yuta,daga,land,,
dito,BISAYA70,dini,ditoy,here,,
kailangan,BISAYA71,kinanghalan,kasapulan,must,,
malaki,BISAYA72,dako,dakkel,big,,
mataas,BISAYA73,taas,nangato,high,,
tulad,BISAYA74,ignon,kas,such,,
sundin,BISAYA75,masunod,suruten,follow,,
kumilos,BISAYA76,malihok,aramid,act,,
bakit,BISAYA77,ngano,apay,why,,
magtanong,BISAYA78,mangutana,agdamag,ask,,
lalaki,BISAYA79,lalaki,lalaki,men,,
pagbabago,BISAYA80,pagbabag-o,baliwan,change,,
nagpunta,BISAYA81,miadto,napan,went,,
liwanag,BISAYA82,kahayag,silaw,light,,
uri,BISAYA83,matang,kita,kind,,
paalis,BISAYA84,mabiya,paalis,off,,
kailangan,BISAYA85,kinanghalan,kasapulan,need,,
bahay,BISAYA86,balay,balay,house,,
larawan,BISAYA87,halugway,ladawan,picture,,
subukan,BISAYA88,masulay,padasen,try,,
tayo,BISAYA89,kanato,sitayo,us,,
muli,BISAYA90,pag-usab,manen,again,,
hayop,BISAYA91,hayop,animal,animal,,
punto,BISAYA92,punto,punto,point,,
nanay,BISAYA93,inahan,inang,mother,,
mundo,BISAYA94,kalibutan,lubong,world,,
malapit,BISAYA95,duol,asideg,near,,
magtayo,BISAYA96,magtukod,ipatakder,build,,
sarili,BISAYA97,kauglingon,bagi,self,,
lupa,BISAYA98,yuta,lupa,earth,,
ama,BISAYA99,amahan,tatang,father,,
anuman,BISAYA100,bisan unsa,anuman,any,,
bago,BISAYA101,bag-o,baro,new,,
trabaho,BISAYA102,trabaho,obra,work,,
bahagi,BISAYA103,bahin,parte,part,,
kumuha,BISAYA104,kuhaa,ála,take,,
kumuha,BISAYA105,kuhaa,ála,get,,
lugar,BISAYA106,dapit,lugar,place,,
ginawa,BISAYA107,gihimo,,made,,
mabuhay,BISAYA108,mabuhi,biag,live,,
saan,BISAYA109,diin,ayan,where,,
pagkatapos,BISAYA110,human,,after,,
likod,BISAYA111,likod,likod,back,,
maliit,BISAYA112,gamay,bassit,little,,
lamang,BISAYA113,lamang,laeng,only,,
bilog,BISAYA114,lingin,nagbukel,round,,
tao,BISAYA115,tawo,tao,man,,
taon,BISAYA116,tuig,tawen,year,,
dumating,BISAYA117,niabot,ummay,came,,
ipalabas,BISAYA118,pasundayag,ipakitam,show,,
bawat,BISAYA119,matag,kada,every,,
mabuti,BISAYA120,maayo,naimbag,good,,
sa akin,BISAYA121,kanako,siak,me,,
magbigay,BISAYA122,mahatag,ikkan,give,,
amin,BISAYA123,amua,ta,our,,
ilalim,BISAYA124,ilalom,baba,under,,
pangalan,BISAYA125,ngalan,Nagan,name,,
napaka,BISAYA126,kaayo,agpaysó,very,,
sa pamamagitan ng,BISAYA127,pinaagi sa,,through,,
lamang,BISAYA128,lamang,pay,just,,
paraan,BISAYA129,paagi,sistema,method,,
pangungusap,BISAYA130,sentensya,keddeng,sentence,,
mahusay,BISAYA131,maayo,dakkel,great,,
isip,BISAYA132,hunahuna,panunot,think,,
sabihin,BISAYA133,ingon,kuna,say,,
tulungan,BISAYA134,tabangan,tulong,help,,
mababa,BISAYA135,ubos,baba,low,,
linya,BISAYA136,linya,linia,line,,
mag-iba,BISAYA137,magkalahi,diperensia,differ,,
pagliko,BISAYA138,liko,likko,turn,,
dahilan,BISAYA139,rason,gapu,cause,,
magkano,BISAYA140,tagpila,Sagmamano,how much,,
kahulugan,BISAYA141,kahulugan,kaipapananna,meaning,,
bago,BISAYA142,sa dili pa,sakbay,before,,
paglipat,BISAYA143,ibalhin,akar,move,,
karapatan,BISAYA144,karapatan,rebbeng,right,,
lalaki,BISAYA145,lalaki,lalaki,boy,,
luma,BISAYA146,tigulang,daan,old,,
masyado,BISAYA147,sobra kaayo,ultimo,too,,
pareho,BISAYA148,pareha,pareho,same,,
siya,BISAYA149,siya,isu,she,,
lahat,BISAYA150,tanan,amin,all,,
doon,BISAYA151,didto,dita,there,,
kailan,BISAYA152,kanus-a,kaano,when,,
taas,BISAYA153,ibabaw,ngato,up,,
gamitin,BISAYA154,gamiton,usar,use,,
iyong,BISAYA155,imong,yo,your,,
paraan,BISAYA156,paagi,sistema,way,,
tungkol sa,BISAYA157,mahitungod sa,agsipud,about,,
marami,BISAYA158,daghan,adu,many,,
pagkatapos,BISAYA159,unya,ngarud,then,,
sila,BISAYA160,sila,isuda,them,,
sumulat,BISAYA161,sumulat,surat,write,,
ibig,BISAYA162,unta,kayat,would,,
tulad ng,BISAYA163,sama ra,gusto,like,,
kaya,BISAYA164,busa,gaway,so,,
mga,BISAYA165,mga,dagitoy,these,,
kanya,BISAYA166,iya,na,her,,
mahaba,BISAYA167,haba,tiddog,long,,
gumawa,BISAYA168,mahimo,aramid,make,,
bagay,BISAYA169,butang,alikamen,thing,,
tingnan,BISAYA170,tan-awa,kita,see,,
kanya,BISAYA171,iya,na,him,,
dalawang,BISAYA172,duha,dua,two,,
may,BISAYA173,naay,,has,,
tumingin,BISAYA174,mangita,kita,look,,
higit pa,BISAYA175,labaw pa,manen,more,,
araw,BISAYA176,adlaw,aldaw,day,,
maari,BISAYA177,mahimo,aramid,could,,
pumunta,BISAYA178,lakaw,ruar,go,,
dumating,BISAYA179,niabot,umay,come,,
ginawa,BISAYA180,gihimo,samak,did,,
numero,BISAYA181,numero,numero,number,,
tunog,BISAYA182,tingog,uni,sound,,
walang,BISAYA183,wala,saan,no,,
karamihan,BISAYA184,kadaghanan,kaaduan,most,,
mga tao,BISAYA185,tawo,tao,people,,
aking,BISAYA186,akong,akong,my,,
sa ibabaw,BISAYA187,ibabaw,ngato,over,,
alam,BISAYA188,nahibalo,ammo,know,,
tubig,BISAYA189,tubig,danom,water,,
kaysa,BISAYA190,kay sa,ngem,than,,
tawag,BISAYA191,tawag,ayab,call,,
unang,BISAYA192,usa,umuna,first,,
sino,BISAYA193,kinsa,sinno,who,,
maaari,BISAYA194,mahimo,,may,,
pababa,BISAYA195,ubos,baba,down,,
gilid,BISAYA196,gilid,sikigan,side,,
naging,BISAYA197,nahimong,sigud,been,,
ngayon,BISAYA198,karon,ita,now,,
hanapin,BISAYA199,pangitaa,saraken,find,,
ulo,BISAYA200,ulo,ulo,head,,
tumayo,BISAYA201,tindog,takder,stand,,
sarili,BISAYA202,kaugalingon,kukua,own,,
pahina,BISAYA203,panid,panid,page,,
dapat,BISAYA204,gyod,koma,should,,
bansa,BISAYA205,nasod,pagilian,country,,
natagpuan,BISAYA206,napalgan,birok,found,,
sagot,BISAYA207,tubag,sungbat,answer,,
paaralan,BISAYA208,eskwelahan,eskuela,school,,
lumaki,BISAYA209,tubo(tú.bû),tubo,grow,,
pag-aaral,BISAYA210,tuon,adal,study,,
pa rin,BISAYA211,pa,talna,still,,
malaman,BISAYA212,pagsabot,sursuro,learn,,
halaman,BISAYA213,tanom,mula,plant,,
pabalat,BISAYA214,hapin,abbong,cover,,
pagkain,BISAYA215,pagkaon,kanen,food,,
sun,BISAYA216,adlaw,init,sun,,
apat,BISAYA217,upat,uppat,four,,
sa pagitan ng,BISAYA218,tali,nagbaetan,between,,
estado,BISAYA219,estado,estado,state,,
panatilihin,BISAYA220,huptan,,keep,,
mata,,mata,mata,eye,,
hindi kailanman,,dili gayud,pulos,never,,
huli,,huli,maudi,last,,
ipaalam,,pasagdan,palabasen,let,,
pag-iisip,,naghunahuna,panunot,thought,,
lungsod,,siyudad,siudad,city,,
puno,,puno,kayo,tree,,
tumawid,,mitabok ,krus,cross,,
sakahan,,umahan,dingguen,farm,,
matapang,,isog,natangken,hard,,
simula,,pagsugod,rugi,start,,
lakas,,kusog,bileg,might,,
kuwento,,istorya,pakasaritaan,story,,
nakita,,nakita,raggadien,saw,,
layo,,layo,adayo,far,,
dagat,,dagat,baybay,sea,,
gumuhit,,drowing,iladawan,draw,,
ang natitira,,sa wala,kannigid,left,,
late,,ulahi,naladaw,late,,
tumakbo,,dagan,agtaray,run,,
hindi,,hindi,di,don’t,,
habang,,samtang,bayat,while,,
pindutin ang,,press,talmeg,press,,
malapit,,duol,rikep,close,,
gabi,,gabii,rabii,night,,
tunay,,tinuod,agpayso,real,,
buhay,,kinabuhi,biag,life,,
iilan,,pipila,bassit,few,,
hilaga,,amihanan,amianan,north,,
aklat,,libro,libro,book,,
dalhin,,dad-on,sakroy,carry,,
kinuha,,gikuha,ala,took,,
agham,,siyensiya,siensia,science,,
kumain,,kaon,kannigid,eat,,
silid,,lawak,siled,room,,
kaibigan,,higala,gayyem,friend,,
nagsimula,,nagsugod,agrugi,began,,
idea,,ideya,idea,idea,,
isda,,isda,ikan,fish,,
bundok,,bukid,bantay,mountain,,
tigil,,hunong,sardeng,stop,,
minsan,,usahay,naminsan,once,,
base,,base,base,base,,
pakinggan,,paminaw,dengngeg,hear,,
kabayo,,kabayo,kabalio,horse,,
hiwa,,giputol,puted,cut,,
sigurado,,sigurado,sigurado,sure,,
panoorin,,tan-awa,,watch,,
kulay,,kolor,maris,color,,
mukha,,nawong,rupa,face,,
wood,,kahoy,kayo,wood,,
pangunahin,,nag-una,kangrunaan,main,,
bukas,,ugma,lukat,open,,
mukhang,,murag,casla,seem,,
magkasama,,kauban,agcuyog,together,,
sunod,,sunod,sumaganad,next,,
puti,,puti,puraw,white,,
mga bata,,mga bata,annak,children,,
simulan,,pagsugod,irugi,begin,,
Nakakuha,,nakuha,ala,got,,
lumakad,,lakaw,magna,walk,,
halimbawa,,pananglitan,pagarigan,example,,
luwag,,kasayon,panaginana,ease,,
papel,,papel,papel,paper,,
pangkat,,ranggo,grupo,group,,
palagi,,kanunay ,kanayon,always,,
musika,,musika,musika,music,,
iyon,,nga ,dagidiay,those,,
kapwa,,duha ,isuda a dua,both,,
mark,,marka ,marca,mark,,
madalas,,kasagaran ,masansan,often,,
sulat,,sulat,surat,letter,,
hanggang sa,,hangtod ,inggana,until,,
milya,,milya,milia,mile,,
ilog,,suba ,karayan,river,,
kotse,,sakyanan ,kotse,car,,
paa,,tiil ,saka,feet,,
pag-aalaga,,pag-atiman ,manangaasi,care,,
pangalawa,,ikaduha ,kanito,second,,
sapat,,igo ,umanay,enough,,
plain,,yano ,tanap,plain,,
batang babae,,babaye ,babai,girl,,
karaniwan,,kasagaran ,gagangay,usual,,
batang,,batan-on ,ubing,young,,
handa,,andam ,pudno,ready,,
sa itaas,,sa ibabaw ,ngato,above,,
kailanman,,sa kanunay ,agnanayon,ever,,
pula,,pula,nalabbaga,red,,
listahan,,listahan,lista,list,,
bagaman,,bisan pa ,nupay,though,,
pakiramdam,,pagbati ,ricnaen,feel,,
usapan,,pagsulti ,sarita,talk,,
ibon,,mga langgam ,billit,bird,,
malapit na,,sa dili madugay ,madamdama,soon,,
katawan,,lawas ,bagi,body,,
aso,,iro ,aso,dog,,
pamilya,,pamilya,familia,family,,
direct,,direkta ,nalinisuro,direct,,
imungkahi,,mosugyot ,,pose,,
mag-iwan,,mobiya ,palubos,leave,,
kanta,,lente ,canta,song,,
sukatin,,sukod ,rucod,measure,,
pinto,,pultahan,ridaw,door,,
produkto,,produkto,produkto,product,,
itim,,itom ,nangisit,black,,
maikling,,mubo ,ababa,short,,
numeral,,numero ,numero,numeral,,
klase,,klase,class,class,,
hangin,,hangin,angin,wind,,
tanong,,pangutana ,saludsod,question,,
mangyari,,mahitabo ,an-ano,happen,,
kumpleto,,kompleto ,leppas,complete,,
barko,,barko,bapor,ship,,
lugar,,dapit ,kalawa,area,,
kalahati,,katunga ,gudua,half,,
bato,,bato ,bato,rock,,
pagkakasunud-sunod,,pagkasunodsunod ,urnos,order,,
sunog,,kalayo ,pudot,fire,,
timog,,habagatan ,abagatan,south,,
problema,,problema,problema,problem,,
piraso,,piraso,p[irgis,piece,,
sinabi,,miingon ,kuna,told,,
alam,,kinaiyahan ,ammo,knew,,
pumasa,,pasado ,pasado,pass,,
mula noong,,sukad pa ,nanipud,since,,
tuktok,,ibabaw ,rabaw,top,,
kabuuan,,kinatibuk-an ,sibubukel,whole,,
king,,hari ,ari,king,,
kalye,,dalan ,calle,street,,
inch,,pulgada ,pulgada,inch,,
paramihin,,magpadaghan ,paaduen,multiply,,
walang anuman,,gidawat nimo,ania ti ania man,nothing,,
Siyempre,,alangan ,wen ah,course,,
manatili,,magpabilin ,gian,stay,,
gulong,,ligid ,pilid,wheel,,
ganap,,hingpit ,,full,,
puwersa,,pwersa ,puersa,force,,
asul,,asul,asul,blue,,
bagay,,butang ,sumupiat,object,,
magpasiya,,pagdesisyon ,ikeddeng,decide,,
pang-ibabaw,,ibabaw ,rabaw,surface,,
malalim,,lawom ,adalem,deep,,
gumala,,magsuroysuroy ,,moon,,
isla,,isla,puro,island,,
paa,,tiil ,kadapan,foot,,
sistema,,sistema,sistema,system,,
maraming ginagawa,,okupar ,addaan iti aramid,busy,,
pagsubok,,pagsulay ,suot,test,,
talaan,,mga rekord ,lista naummong a pacaammo,record,,
bangka,,sakayan ,vapor,boat,,
karaniwan,,kasagaran ,sapasap,common,,
ginto,,bulawan ,balitoc,gold,,
posible,,posible,posible,possible,,
eroplano,,eroplano,catam,plane,,
stead,,puli ,,stead,,
dry,,uga ,namaga,dry,,
Wonder,,katingalahan ,datlag,wonder,,
patawanin,,patawanin,agcatawa,laugh,,
libo,,libo,sangaribu,thousand,,
nakaraan,,miagi ,itay,ago,,
Pinatatakbo ng,,gipadagan sa ,nagtaray,ran,,
suriin,,susiha ,tubngen,check,,
laro,,duwa ,ayam,game,,
hugis,,porma ,sucong,shape,,
Tutumbas,,tutumbas,,equate,,
mainit,,init ,pudot,hot,,
tamaan,,naigo ,iliw,miss,,
nagdala,,gidala ,innalak,brought,,
init,,init,pudot,heat,,
snow,,niyebe ,hielo,snow,,
gulong,,ligid ,bannog,tire,,
dalhin,,pagdala ,alaen,bring,,
yes,,oo ,wen,yes,,
malayo,,layo kaayo ,adayo,distant,,
punuin,,pun-on ,punnuen,fill,,
silangan,,silangan,daya,east,,
pintahan,,pintal ,pintura,paint,,
wika,,pinulongan,pagsasao,language,,
kasama ng,,uban sa ,cadagiti,among,,
yunit,,yunit,yunit,unit,,
kapangyarihan,,gahum ,pannakabalin,power,,
bayan,,nasud ,ili,town,,
mainam,,mainam,nasayaat,fine,,
tiyak,,sigurado ,napudno,certain,,
lumipad,,lupad ,agilaw,fly,,
mahulog,,pagkahulog ,natumba,fall,,
pangunahan,,tingga ,daulo,lead,,
sigaw,,singgit ,sangit,cry,,
dark,,ngitngit ,nasipnget,dark,,
makina,,makina,maquina,machine,,
tala,,istorya ,pakasaritaan,note,,
maghintay,,paghulat ,aguray,wait,,
plano,,plano,panunot,plan,,
pigura,,bayanan ,langa,figure,,
star,,bituon ,bituen,star,,
kahon,,kahon,cajon,box,,
pangngalan,,noun,banag,noun,,
patlang,,kapatagan ,tanap,field,,
pahinga,,buwag ,inana,rest,,
tama,,husto ,payso,correct,,
kaya,,mahimo ,gaway,able,,
pound,,libra ,libra,pound,,
tapos,,tapos,leppas,done,,
beauty,,katahom ,pintas,beauty,,
biyahe,,biyahe,biahe,drive,,
nakatayo,,nga nagatindog ,takder,stood,,
may,,naglangkob ,laonen,contain,,
front,,atubangan ,sango,front,,
magturo,,pagtudlo ,sursuro,teach,,
linggo,,semana ,lawas,week,,
panghuling,,katapusan ,ultimo,final,,
ibinigay,,gihatag ,innikkam,gave,,
berde,,berde,berde,green,,
oh,,oh,oh,oh,,
mabilis,,paspas ,siglat,quick,,
bumuo,,pagpalambo,pasayaaten,develop,,
karagatan,,kadagatan ,baybay,ocean,,
mainit-init,,init ,pudot,warm,,
libre,,libre,libre,free,,
minutong,,minuto ,minuto,minute,,
malakas,,lig-on ,napigsa,strong,,
espesyal na,,espesyal ,baro,special,,
isip,,hunahuna ,isip,mind,,
sa likod ng,,sa luyo ,tanlikodam,behind,,
